,IMG No.,Prediction,Actual Value,Right,Wrong,%,M1Right,M1Wrong,M1%,M2Right,M2Wrong,M2%,M3Right,M3Wrong,M3%,M1-3Right,M1-3Wrong,M1-3%,M4-7Right,M4-7Wrong,M4-7%
134,782,2,0,,,,,,,,,,,,,,,,,,
135,783,1,8,,,,,,,,,,,,,,,,,,
136,784,0,1,,,,,,,,,,,,,,,,,,
137,786,6,3,,,,,,,,,,,,,,,,,,
138,787,0,7,,,,,,,,,,,,,,,,,,
139,788,0,7,,,,,,,,,,,,,,,,,,
140,789,0,8,,,,,,,,,,,,,,,,,,
141,792,1,0,,,,,,,,,,,,,,,,,,
142,796,1,5,,,,,,,,,,,,,,,,,,
143,797,1,0,,,,,,,,,,,,,,,,,,
144,799,1,0,,,,,,,,,,,,,,,,,,
145,900,0,1,,,,,,,,,,,,,,,,,,
146,903,3,0,,,,,,,,,,,,,,,,,,
147,904,4,0,,,,,,,,,,,,,,,,,,
148,913,1,0,,,,,,,,,,,,,,,,,,
149,921,0,2,,,,,,,,,,,,,,,,,,
150,922,0,2,,,,,,,,,,,,,,,,,,
151,923,0,2,,,,,,,,,,,,,,,,,,
152,924,0,2,,,,,,,,,,,,,,,,,,
153,932,0,2,,,,,,,,,,,,,,,,,,
154,936,1,0,,,,,,,,,,,,,,,,,,
155,938,4,0,,,,,,,,,,,,,,,,,,
156,940,1,0,,,,,,,,,,,,,,,,,,
157,944,2,0,,,,,,,,,,,,,,,,,,
158,947,1,0,,,,,,,,,,,,,,,,,,
159,953,1,0,,,,,,,,,,,,,,,,,,
160,963,1,0,,,,,,,,,,,,,,,,,,
161,971,2,0,,,,,,,,,,,,,,,,,,
162,972,2,0,,,,,,,,,,,,,,,,,,
163,974,3,2,,,,,,,,,,,,,,,,,,
164,975,1,2,,,,,,,,,,,,,,,,,,
165,976,0,2,,,,,,,,,,,,,,,,,,
166,977,0,2,,,,,,,,,,,,,,,,,,
167,978,1,2,,,,,,,,,,,,,,,,,,
168,979,1,2,,,,,,,,,,,,,,,,,,
169,980,1,2,,,,,,,,,,,,,,,,,,
170,981,1,0,,,,,,,,,,,,,,,,,,
171,985,2,0,,,,,,,,,,,,,,,,,,
172,986,1,0,,,,,,,,,,,,,,,,,,
173,987,1,0,,,,,,,,,,,,,,,,,,
174,994,2,0,,,,,,,,,,,,,,,,,,
175,995,0,1,,,,,,,,,,,,,,,,,,
176,999,1,0,,,,,,,,,,,,,,,,,,
177,1100,0,7,,,,,,,,,,,,,,,,,,
178,1101,0,2,,,,,,,,,,,,,,,,,,
179,1102,0,4,,,,,,,,,,,,,,,,,,
180,1104,6,0,,,,,,,,,,,,,,,,,,
181,1106,1,2,,,,,,,,,,,,,,,,,,
182,1107,1,0,,,,,,,,,,,,,,,,,,
183,1115,7,0,,,,,,,,,,,,,,,,,,
184,1117,3,6,,,,,,,,,,,,,,,,,,
185,1118,0,7,,,,,,,,,,,,,,,,,,
186,1119,0,7,,,,,,,,,,,,,,,,,,
187,1120,0,2,,,,,,,,,,,,,,,,,,
188,1121,0,1,,,,,,,,,,,,,,,,,,
189,1123,1,0,,,,,,,,,,,,,,,,,,
190,1126,0,4,,,,,,,,,,,,,,,,,,
191,1127,3,4,,,,,,,,,,,,,,,,,,
192,1128,0,1,,,,,,,,,,,,,,,,,,
193,1129,0,1,,,,,,,,,,,,,,,,,,
194,1134,1,0,,,,,,,,,,,,,,,,,,
195,1136,5,3,,,,,,,,,,,,,,,,,,
196,1137,0,2,,,,,,,,,,,,,,,,,,
197,1138,0,2,,,,,,,,,,,,,,,,,,
198,1139,2,8,,,,,,,,,,,,,,,,,,
199,1140,0,6,,,,,,,,,,,,,,,,,,
200,1141,0,8,,,,,,,,,,,,,,,,,,
201,1142,0,8,,,,,,,,,,,,,,,,,,
202,1144,0,5,,,,,,,,,,,,,,,,,,
203,1145,1,0,,,,,,,,,,,,,,,,,,
204,1147,1,4,,,,,,,,,,,,,,,,,,
205,1148,0,3,,,,,,,,,,,,,,,,,,
206,1149,0,6,,,,,,,,,,,,,,,,,,
207,1150,0,6,,,,,,,,,,,,,,,,,,
208,1151,0,6,,,,,,,,,,,,,,,,,,
209,1152,0,5,,,,,,,,,,,,,,,,,,
210,1155,0,5,,,,,,,,,,,,,,,,,,
211,1156,0,7,,,,,,,,,,,,,,,,,,
212,1157,0,8,,,,,,,,,,,,,,,,,,
213,1158,3,0,,,,,,,,,,,,,,,,,,
214,1162,2,0,,,,,,,,,,,,,,,,,,
215,1167,0,1,,,,,,,,,,,,,,,,,,
216,1168,0,1,,,,,,,,,,,,,,,,,,
217,1169,0,3,,,,,,,,,,,,,,,,,,
218,1170,0,4,,,,,,,,,,,,,,,,,,
219,1171,0,3,,,,,,,,,,,,,,,,,,
220,1172,0,2,,,,,,,,,,,,,,,,,,
221,1173,8,2,,,,,,,,,,,,,,,,,,
222,1174,0,6,,,,,,,,,,,,,,,,,,
223,1175,7,0,,,,,,,,,,,,,,,,,,
224,1181,0,1,,,,,,,,,,,,,,,,,,
225,1182,0,2,,,,,,,,,,,,,,,,,,
226,1183,0,5,,,,,,,,,,,,,,,,,,
227,1184,5,4,,,,,,,,,,,,,,,,,,
228,1185,0,6,,,,,,,,,,,,,,,,,,
229,1186,1,0,,,,,,,,,,,,,,,,,,
230,1189,0,3,,,,,,,,,,,,,,,,,,
231,1190,0,8,,,,,,,,,,,,,,,,,,
232,1192,1,6,,,,,,,,,,,,,,,,,,
233,1193,1,0,,,,,,,,,,,,,,,,,,
234,1196,0,7,,,,,,,,,,,,,,,,,,
235,1197,6,0,,,,,,,,,,,,,,,,,,
236,1300,0,2,,,,,,,,,,,,,,,,,,
237,1304,0,3,,,,,,,,,,,,,,,,,,
238,1305,0,3,,,,,,,,,,,,,,,,,,
239,1306,1,2,,,,,,,,,,,,,,,,,,
240,1307,0,5,,,,,,,,,,,,,,,,,,
241,1308,0,6,,,,,,,,,,,,,,,,,,
242,1309,7,6,,,,,,,,,,,,,,,,,,
243,1310,0,8,,,,,,,,,,,,,,,,,,
244,1311,8,4,,,,,,,,,,,,,,,,,,
245,1312,0,8,,,,,,,,,,,,,,,,,,
246,1313,0,8,,,,,,,,,,,,,,,,,,
247,1314,0,6,,,,,,,,,,,,,,,,,,
248,1316,0,7,,,,,,,,,,,,,,,,,,
249,1317,6,0,,,,,,,,,,,,,,,,,,
250,1341,6,0,,,,,,,,,,,,,,,,,,
251,1342,1,0,,,,,,,,,,,,,,,,,,
252,1343,0,6,,,,,,,,,,,,,,,,,,
253,1344,0,3,,,,,,,,,,,,,,,,,,
254,1348,0,2,,,,,,,,,,,,,,,,,,
255,1350,2,0,,,,,,,,,,,,,,,,,,
256,1351,0,1,,,,,,,,,,,,,,,,,,
257,1357,2,0,,,,,,,,,,,,,,,,,,
258,1363,7,0,,,,,,,,,,,,,,,,,,
259,1369,2,6,,,,,,,,,,,,,,,,,,
260,1370,0,5,,,,,,,,,,,,,,,,,,
261,1371,0,2,,,,,,,,,,,,,,,,,,
262,1379,4,0,,,,,,,,,,,,,,,,,,
263,1380,4,0,,,,,,,,,,,,,,,,,,
264,1381,7,0,,,,,,,,,,,,,,,,,,
265,1386,5,0,,,,,,,,,,,,,,,,,,
266,1387,2,5,,,,,,,,,,,,,,,,,,
267,1388,0,2,,,,,,,,,,,,,,,,,,
268,1389,3,5,,,,,,,,,,,,,,,,,,
269,1390,2,4,,,,,,,,,,,,,,,,,,
270,1392,3,2,,,,,,,,,,,,,,,,,,
271,1393,3,2,,,,,,,,,,,,,,,,,,
272,1394,7,2,,,,,,,,,,,,,,,,,,
273,1396,3,2,,,,,,,,,,,,,,,,,,
274,1397,5,0,,,,,,,,,,,,,,,,,,
275,1399,1,0,,,,,,,,,,,,,,,,,,
276,1500,1,8,,,,,,,,,,,,,,,,,,
277,1502,2,0,,,,,,,,,,,,,,,,,,
278,1503,1,0,,,,,,,,,,,,,,,,,,
279,1506,0,4,,,,,,,,,,,,,,,,,,
280,1509,1,0,,,,,,,,,,,,,,,,,,
281,1516,0,6,,,,,,,,,,,,,,,,,,
282,1517,0,5,,,,,,,,,,,,,,,,,,
283,1518,0,6,,,,,,,,,,,,,,,,,,
284,1519,0,6,,,,,,,,,,,,,,,,,,
285,1526,1,0,,,,,,,,,,,,,,,,,,
286,1529,4,0,,,,,,,,,,,,,,,,,,
287,1530,0,7,,,,,,,,,,,,,,,,,,
288,1531,0,8,,,,,,,,,,,,,,,,,,
289,1535,2,4,,,,,,,,,,,,,,,,,,
290,1536,0,6,,,,,,,,,,,,,,,,,,
291,1542,2,0,,,,,,,,,,,,,,,,,,
292,1543,4,0,,,,,,,,,,,,,,,,,,
293,1548,0,1,,,,,,,,,,,,,,,,,,
294,1549,4,1,,,,,,,,,,,,,,,,,,
295,1551,1,2,,,,,,,,,,,,,,,,,,
296,1552,8,7,,,,,,,,,,,,,,,,,,
297,1553,0,7,,,,,,,,,,,,,,,,,,
298,1554,0,8,,,,,,,,,,,,,,,,,,
299,1555,0,8,,,,,,,,,,,,,,,,,,
300,1556,0,8,,,,,,,,,,,,,,,,,,
301,1557,0,8,,,,,,,,,,,,,,,,,,
302,1558,4,8,,,,,,,,,,,,,,,,,,
303,1559,0,8,,,,,,,,,,,,,,,,,,
304,1560,0,7,,,,,,,,,,,,,,,,,,
305,1561,0,8,,,,,,,,,,,,,,,,,,
306,1562,0,8,,,,,,,,,,,,,,,,,,
307,1563,0,8,,,,,,,,,,,,,,,,,,
308,1564,8,0,,,,,,,,,,,,,,,,,,
309,1568,4,0,,,,,,,,,,,,,,,,,,
310,1571,0,2,,,,,,,,,,,,,,,,,,
311,1574,3,0,,,,,,,,,,,,,,,,,,
312,1579,1,0,,,,,,,,,,,,,,,,,,
313,1582,3,0,,,,,,,,,,,,,,,,,,
314,1583,6,0,,,,,,,,,,,,,,,,,,
315,1584,3,0,,,,,,,,,,,,,,,,,,
316,1595,0,2,,,,,,,,,,,,,,,,,,
317,1700,0,7,,,,,,,,,,,,,,,,,,
318,1701,0,6,,,,,,,,,,,,,,,,,,
319,1702,0,2,,,,,,,,,,,,,,,,,,
320,1705,0,1,,,,,,,,,,,,,,,,,,
321,1706,0,3,,,,,,,,,,,,,,,,,,
322,1707,0,7,,,,,,,,,,,,,,,,,,
323,1708,0,7,,,,,,,,,,,,,,,,,,
324,1709,0,6,,,,,,,,,,,,,,,,,,
325,1710,0,7,,,,,,,,,,,,,,,,,,
326,1711,0,7,,,,,,,,,,,,,,,,,,
327,1712,0,7,,,,,,,,,,,,,,,,,,
328,1725,0,5,,,,,,,,,,,,,,,,,,
329,1726,0,5,,,,,,,,,,,,,,,,,,
330,1727,0,5,,,,,,,,,,,,,,,,,,
331,1728,0,5,,,,,,,,,,,,,,,,,,
332,1731,0,8,,,,,,,,,,,,,,,,,,
333,1732,0,5,,,,,,,,,,,,,,,,,,
334,1733,3,0,,,,,,,,,,,,,,,,,,
335,1734,2,4,,,,,,,,,,,,,,,,,,
336,1739,1,0,,,,,,,,,,,,,,,,,,
337,1741,1,0,,,,,,,,,,,,,,,,,,
338,1742,0,6,,,,,,,,,,,,,,,,,,
339,1743,0,6,,,,,,,,,,,,,,,,,,
340,1744,4,6,,,,,,,,,,,,,,,,,,
341,1745,0,2,,,,,,,,,,,,,,,,,,
342,1746,1,2,,,,,,,,,,,,,,,,,,
343,1748,3,0,,,,,,,,,,,,,,,,,,
344,1751,5,0,,,,,,,,,,,,,,,,,,
345,1752,5,0,,,,,,,,,,,,,,,,,,
346,1753,0,2,,,,,,,,,,,,,,,,,,
347,1754,0,2,,,,,,,,,,,,,,,,,,
348,1756,3,0,,,,,,,,,,,,,,,,,,
349,1766,1,0,,,,,,,,,,,,,,,,,,
350,1772,0,4,,,,,,,,,,,,,,,,,,
351,1773,0,5,,,,,,,,,,,,,,,,,,
352,1774,0,1,,,,,,,,,,,,,,,,,,
353,1776,0,1,,,,,,,,,,,,,,,,,,
354,1777,0,2,,,,,,,,,,,,,,,,,,
355,1778,1,0,,,,,,,,,,,,,,,,,,
356,1786,4,7,,,,,,,,,,,,,,,,,,
357,1787,0,7,,,,,,,,,,,,,,,,,,
358,1788,0,6,,,,,,,,,,,,,,,,,,
359,1789,0,2,,,,,,,,,,,,,,,,,,
360,1790,0,2,,,,,,,,,,,,,,,,,,
361,1791,0,3,,,,,,,,,,,,,,,,,,
362,1792,0,3,,,,,,,,,,,,,,,,,,
363,1794,3,0,,,,,,,,,,,,,,,,,,
364,1900,0,7,,,,,,,,,,,,,,,,,,
365,1901,0,7,,,,,,,,,,,,,,,,,,
366,1902,0,7,,,,,,,,,,,,,,,,,,
367,1903,6,7,,,,,,,,,,,,,,,,,,
368,1904,0,6,,,,,,,,,,,,,,,,,,
369,1905,0,7,,,,,,,,,,,,,,,,,,
370,1906,0,5,,,,,,,,,,,,,,,,,,
371,1909,3,0,,,,,,,,,,,,,,,,,,
372,1910,3,0,,,,,,,,,,,,,,,,,,
373,1916,1,0,,,,,,,,,,,,,,,,,,
374,1918,3,0,,,,,,,,,,,,,,,,,,
375,1922,1,2,,,,,,,,,,,,,,,,,,
376,1923,5,0,,,,,,,,,,,,,,,,,,
377,1926,0,2,,,,,,,,,,,,,,,,,,
378,1934,1,0,,,,,,,,,,,,,,,,,,
379,1939,2,0,,,,,,,,,,,,,,,,,,
380,1941,1,0,,,,,,,,,,,,,,,,,,
381,1949,0,2,,,,,,,,,,,,,,,,,,
382,1950,2,1,,,,,,,,,,,,,,,,,,
383,1951,6,0,,,,,,,,,,,,,,,,,,
384,1953,1,0,,,,,,,,,,,,,,,,,,
385,1954,1,0,,,,,,,,,,,,,,,,,,
386,1955,1,0,,,,,,,,,,,,,,,,,,
387,1963,0,2,,,,,,,,,,,,,,,,,,
388,1969,1,0,,,,,,,,,,,,,,,,,,
389,1980,6,0,,,,,,,,,,,,,,,,,,
390,1982,1,0,,,,,,,,,,,,,,,,,,
391,1990,0,3,,,,,,,,,,,,,,,,,,
392,1991,3,4,,,,,,,,,,,,,,,,,,
393,1992,2,8,,,,,,,,,,,,,,,,,,
394,1993,2,0,,,,,,,,,,,,,,,,,,
395,2100,1,0,,,,,,,,,,,,,,,,,,
396,2103,4,0,,,,,,,,,,,,,,,,,,
397,2104,4,0,,,,,,,,,,,,,,,,,,
398,2105,1,0,,,,,,,,,,,,,,,,,,
399,2107,0,1,,,,,,,,,,,,,,,,,,
400,2108,4,0,,,,,,,,,,,,,,,,,,
401,2117,4,0,,,,,,,,,,,,,,,,,,
402,2125,1,0,,,,,,,,,,,,,,,,,,
403,2129,3,0,,,,,,,,,,,,,,,,,,
404,2142,4,0,,,,,,,,,,,,,,,,,,
405,2143,0,1,,,,,,,,,,,,,,,,,,
406,2144,0,1,,,,,,,,,,,,,,,,,,
407,2145,3,0,,,,,,,,,,,,,,,,,,
408,2146,0,2,,,,,,,,,,,,,,,,,,
409,2147,1,2,,,,,,,,,,,,,,,,,,
410,2148,3,1,,,,,,,,,,,,,,,,,,
411,2149,0,1,,,,,,,,,,,,,,,,,,
412,2150,2,1,,,,,,,,,,,,,,,,,,
413,2151,5,1,,,,,,,,,,,,,,,,,,
414,2152,0,3,,,,,,,,,,,,,,,,,,
415,2153,0,5,,,,,,,,,,,,,,,,,,
416,2154,0,6,,,,,,,,,,,,,,,,,,
417,2156,0,2,,,,,,,,,,,,,,,,,,
418,2157,0,4,,,,,,,,,,,,,,,,,,
419,2158,0,4,,,,,,,,,,,,,,,,,,
420,2159,3,6,,,,,,,,,,,,,,,,,,
421,2160,0,5,,,,,,,,,,,,,,,,,,
422,2161,0,5,,,,,,,,,,,,,,,,,,
423,2162,0,6,,,,,,,,,,,,,,,,,,
424,2164,2,6,,,,,,,,,,,,,,,,,,
425,2165,0,5,,,,,,,,,,,,,,,,,,
426,2166,1,3,,,,,,,,,,,,,,,,,,
427,2168,0,2,,,,,,,,,,,,,,,,,,
428,2169,5,6,,,,,,,,,,,,,,,,,,
429,2170,0,6,,,,,,,,,,,,,,,,,,
430,2172,8,5,,,,,,,,,,,,,,,,,,
431,2173,0,5,,,,,,,,,,,,,,,,,,
432,2174,5,0,,,,,,,,,,,,,,,,,,
433,2175,0,1,,,,,,,,,,,,,,,,,,
434,2176,0,4,,,,,,,,,,,,,,,,,,
435,2177,3,6,,,,,,,,,,,,,,,,,,
436,2184,3,0,,,,,,,,,,,,,,,,,,
437,2189,0,1,,,,,,,,,,,,,,,,,,
438,2190,3,0,,,,,,,,,,,,,,,,,,
439,2302,1,0,,,,,,,,,,,,,,,,,,
440,2304,4,0,,,,,,,,,,,,,,,,,,
441,2305,1,0,,,,,,,,,,,,,,,,,,
442,2306,1,0,,,,,,,,,,,,,,,,,,
443,2310,1,0,,,,,,,,,,,,,,,,,,
444,2313,2,0,,,,,,,,,,,,,,,,,,
445,2314,0,1,,,,,,,,,,,,,,,,,,
446,2316,5,0,,,,,,,,,,,,,,,,,,
447,2317,5,0,,,,,,,,,,,,,,,,,,
448,2322,7,0,,,,,,,,,,,,,,,,,,
449,2326,2,0,,,,,,,,,,,,,,,,,,
450,2327,2,0,,,,,,,,,,,,,,,,,,
451,2331,2,0,,,,,,,,,,,,,,,,,,
452,2344,0,1,,,,,,,,,,,,,,,,,,
453,2347,0,1,,,,,,,,,,,,,,,,,,
454,2348,0,1,,,,,,,,,,,,,,,,,,
455,2349,0,1,,,,,,,,,,,,,,,,,,
456,2356,3,0,,,,,,,,,,,,,,,,,,
457,2373,2,0,,,,,,,,,,,,,,,,,,
458,2377,0,2,,,,,,,,,,,,,,,,,,
459,2380,1,0,,,,,,,,,,,,,,,,,,
460,2381,1,0,,,,,,,,,,,,,,,,,,
461,2387,1,0,,,,,,,,,,,,,,,,,,
462,2390,0,8,,,,,,,,,,,,,,,,,,
463,2391,0,1,,,,,,,,,,,,,,,,,,
464,2392,0,4,,,,,,,,,,,,,,,,,,
465,2500,6,2,,,,,,,,,,,,,,,,,,
466,2501,6,0,,,,,,,,,,,,,,,,,,
467,2506,1,0,,,,,,,,,,,,,,,,,,
468,2510,0,2,,,,,,,,,,,,,,,,,,
469,2511,0,1,,,,,,,,,,,,,,,,,,
470,2512,3,0,,,,,,,,,,,,,,,,,,
471,2513,1,0,,,,,,,,,,,,,,,,,,
472,2514,0,2,,,,,,,,,,,,,,,,,,
473,2517,0,2,,,,,,,,,,,,,,,,,,
474,2518,0,8,,,,,,,,,,,,,,,,,,
475,2519,0,1,,,,,,,,,,,,,,,,,,
476,2524,2,0,,,,,,,,,,,,,,,,,,
477,2539,1,0,,,,,,,,,,,,,,,,,,
478,2540,7,0,,,,,,,,,,,,,,,,,,
479,2542,0,2,,,,,,,,,,,,,,,,,,
480,2543,7,1,,,,,,,,,,,,,,,,,,
481,2544,1,2,,,,,,,,,,,,,,,,,,
482,2557,1,0,,,,,,,,,,,,,,,,,,
483,2565,3,1,,,,,,,,,,,,,,,,,,
484,2566,7,1,,,,,,,,,,,,,,,,,,
485,2567,0,1,,,,,,,,,,,,,,,,,,
486,2569,3,0,,,,,,,,,,,,,,,,,,
487,2570,3,0,,,,,,,,,,,,,,,,,,
488,2577,3,0,,,,,,,,,,,,,,,,,,
489,2584,4,0,,,,,,,,,,,,,,,,,,
490,2585,1,0,,,,,,,,,,,,,,,,,,
491,2586,1,0,,,,,,,,,,,,,,,,,,
492,2587,3,0,,,,,,,,,,,,,,,,,,
493,2588,1,0,,,,,,,,,,,,,,,,,,
494,2589,2,0,,,,,,,,,,,,,,,,,,
495,2590,2,0,,,,,,,,,,,,,,,,,,
496,2591,2,0,,,,,,,,,,,,,,,,,,
497,2592,2,0,,,,,,,,,,,,,,,,,,
498,2593,6,0,,,,,,,,,,,,,,,,,,
499,2594,4,0,,,,,,,,,,,,,,,,,,
500,2595,0,2,,,,,,,,,,,,,,,,,,
501,2596,0,2,,,,,,,,,,,,,,,,,,
502,2597,0,2,,,,,,,,,,,,,,,,,,
503,2598,0,3,,,,,,,,,,,,,,,,,,
504,2700,0,1,,,,,,,,,,,,,,,,,,
505,2701,0,1,,,,,,,,,,,,,,,,,,
506,2702,0,1,,,,,,,,,,,,,,,,,,
507,2703,0,1,,,,,,,,,,,,,,,,,,
508,2704,0,1,,,,,,,,,,,,,,,,,,
509,2705,0,1,,,,,,,,,,,,,,,,,,
510,2706,2,0,,,,,,,,,,,,,,,,,,
511,2719,1,0,,,,,,,,,,,,,,,,,,
512,2730,0,1,,,,,,,,,,,,,,,,,,
